Cumulative Instructions,IPC_19
20737857,1.845731869
55755387,1.077094592
411197110,1.019228651
767134918,1.019252181
1123110708,1.019254089
1478981276,1.019247067
1834961887,1.019253893
2190944232,1.019242962
2546747056,1.019247906
2902758453,1.019254653
3258674321,1.019249465
3614647196,1.019251941
3970613375,1.019253037
4326622945,1.019253686
4682650711,1.0192561
5038390226,1.019249248
5394348907,1.019254113
5691130060,1.411364354
6042526993,1.18999928
6511607475,1.374603923
7088607073,1.685967427
7649109651,1.614632839
8191345113,1.625361588
9049404018,2.471685517
9608378173,1.602805584
10128739409,1.493277335
10659826988,1.527357643
11307935720,1.860428045
12094538382,2.255764343
12816646207,2.075477868
13484986101,1.917307997
14077955720,1.700808882
14684988377,1.741106811
15254106856,1.63822842
15873938526,1.777691209
16516827677,1.844064029
17186055668,1.924361303
17833759196,1.859266103
18504173416,1.922756397
19108973670,1.738966344
19715088996,1.757607479
20446223388,2.777419375
21254937890,2.650778315
21766261629,1.466135732
22184323397,1.384923516
22568832122,1.261188385
23030487863,1.35005917
23623036633,1.733564495
24185855641,1.626179059
24754860689,1.696727965
25618356337,2.478995291
26156521132,1.543430621
26676763132,1.492210413
27215321053,1.550075931
27885250508,1.922782335
28666780584,2.245249866
29388007304,2.07360094
30055730155,1.915567176
30650442949,1.705786018
31262235270,1.756612165
31847564310,1.68514036
32459108377,1.754291422
33106540781,1.861061275
33777342904,1.924448207
34419518193,1.843905633
35084145363,1.910896629
35695190477,1.754168441
36264347511,1.759587497
37071040132,2.909835812
37826229557,2.412578328
38337706892,1.465817059
38694637134,1.267474263
39151843774,1.414904456
39591647787,1.288571705
40206798120,1.771657921
40756262963,1.587716245
41376607759,1.79225617
42204476706,2.373692568
42730231455,1.509312885
43248120471,1.485375575
43835829733,1.69012812
44492506631,1.883172856
45319227535,2.370603788
45992053671,1.934808143
46652626257,1.893756402
47241323731,1.68906451
47821789977,1.669838156
48432919323,1.75250227
49054941071,1.785460207
49708297388,1.878567076
50384336104,1.939111652
51020799926,1.824609668
51694104895,1.936692409
52298626754,1.733514895
52867403017,1.889694598
53737686121,3.007217296
54411444239,2.085399767
54922182041,1.46410295
55262131027,1.23399518
55724767672,1.408850092
56204312470,1.401641283
56798994597,1.717347271
57360324088,1.619946094
58036306801,1.950107849
58802831747,2.197386285
59320746920,1.485532415
59837463499,1.486872361
60435813227,1.716477162
61103176583,1.913362435
61925590647,2.357988659
62611371759,1.971649221
63246735584,1.823262281
63831901291,1.679492033
64399723466,1.633571977
65022904097,1.787356665
65644027739,1.781308849
66301143080,1.891390328
66975033554,1.933121562
67621686161,1.85480864
68283405327,1.903588484
68880206329,1.712578462
69440205140,1.95023413
70355574056,3.085837542
70975146654,1.877571323
71485503229,1.463151399
71803652068,1.182165265
72283890824,1.439986136
72767360663,1.416034104
73363311843,1.716106045
73922288643,1.613531891
74654909044,2.112164807
75369656823,2.04969944
75887149415,1.485261336
76405964634,1.491445054
77007565949,1.726893089
77727794636,2.065589594
78505269338,2.230431362
79201495368,2.003722929
79830183671,1.804664304
80417945387,1.687504065
80991760658,1.651756238
81611554504,1.777236836
82239654626,1.801741995
82895443127,1.885070283
83565500283,1.921506397
84222569811,1.886520487
84854580414,1.817512856
85479870902,1.793916665
86084603338,2.195515708
87002637748,3.072954559
87558053074,1.638246193
88029084335,1.463993569
88135889002,1.258266921
88517984682,1.539853905
88745641871,0.655161131
89198821588,1.553878595
89580869185,1.12727903
89969647640,1.131137981
90344709407,1.105233655
90741413809,1.153415467
91121801996,1.121733362
91518642329,1.153827456
91896838770,1.114975396
92289292280,1.14209034
92668159779,1.117481206
93064214610,1.151048304
93468928748,1.205491386
93860305510,1.167738663
94249362797,1.160132594
94651351290,1.152525367
95043583638,1.170205571
95437072856,1.173520618
95827285514,1.163450153
96236231261,1.172638199
96630353905,1.173581154
97015548496,1.146784898
97388304703,1.084176947
97781367093,1.143715725
98155445593,1.103242595
98546008776,1.134783735
98925877799,1.120067655
99321855324,1.151173052
99701305066,1.118675004
1.00E+11,1.150080629
1.00E+11,1.109682917
1.01E+11,1.163262565
1.01E+11,1.095478676
1.02E+11,1.220291153
1.02E+11,1.144759653
1.02E+11,1.199991933
1.03E+11,1.159970647
1.03E+11,1.150204742
1.04E+11,1.128980768
1.04E+11,1.196167258
1.04E+11,1.180368045
1.05E+11,1.173618839
1.05E+11,1.117448262
1.06E+11,1.162112142
1.06E+11,1.109217072
1.06E+11,1.124530778
1.07E+11,1.118342032
1.07E+11,1.109808039
1.08E+11,1.127657502
1.08E+11,1.142849164
1.08E+11,1.121888877
1.09E+11,1.135081368
1.09E+11,1.143446965
1.09E+11,1.118086723
1.10E+11,1.152984848
1.10E+11,1.20881197
1.11E+11,1.17472701
1.11E+11,1.161182378
1.11E+11,1.124599497
1.12E+11,1.198905437
1.12E+11,1.172706434
1.13E+11,1.167390476
1.13E+11,1.144774091
1.13E+11,1.19577397
1.14E+11,1.161078909
1.14E+11,1.090855538
1.15E+11,1.137464216
1.15E+11,1.105527052
1.15E+11,1.122478384
1.16E+11,1.116915402
1.16E+11,1.140688291
1.16E+11,1.130241279
1.17E+11,1.149384326
1.17E+11,1.105130225
1.18E+11,1.159977234
1.18E+11,1.11636132
1.18E+11,1.214427634
1.19E+11,1.158394188
1.19E+11,1.173498534
1.20E+11,1.175870335
1.20E+11,1.220888434
1.20E+11,1.16754582
1.21E+11,1.146240604
1.21E+11,1.213069385
1.22E+11,1.181454199
1.22E+11,1.140366771
1.22E+11,1.146151856
1.23E+11,1.077278077
1.23E+11,1.146024024
1.24E+11,1.10348272
1.24E+11,1.129544014
1.24E+11,1.112649165
1.25E+11,1.151283791
1.25E+11,1.123834097
1.25E+11,1.139119154
1.26E+11,1.140271825
1.26E+11,1.141217383
1.27E+11,1.171196572
1.27E+11,1.179685997
1.27E+11,1.183685367
1.28E+11,1.162610129
1.28E+11,1.14415614
1.29E+11,1.162289823
1.29E+11,1.183795653
1.29E+11,1.167160615
1.30E+11,1.177686326
1.30E+11,1.149543927
1.31E+11,1.145333586
1.31E+11,1.495473735
1.31E+11,1.977639534
1.32E+11,2.042020509
1.32E+11,2.198852433
1.33E+11,2.129132862
1.34E+11,2.228475843
1.35E+11,2.30417252
1.35E+11,2.154497026
1.36E+11,2.223456235
1.37E+11,2.139182784
1.38E+11,2.222502357
1.38E+11,2.283159025
1.39E+11,2.206801755
1.40E+11,2.132931881
1.41E+11,2.205574156
1.41E+11,2.499529957
1.42E+11,3.100345082
1.43E+11,3.736037308
1.44E+11,2.004816602
1.45E+11,2.734947616
1.45E+11,2.315199547
1.46E+11,2.218390274
1.47E+11,2.950347845
1.48E+11,3.496074046
1.49E+11,3.78231167
1.50E+11,1.69677557
1.51E+11,1.823825571
1.52E+11,3.67279093
1.53E+11,2.744241871
1.54E+11,2.403159184
1.54E+11,2.517425142
1.55E+11,1.977111007
1.56E+11,3.05001681
1.57E+11,2.647966684
1.59E+11,4.175488556
1.59E+11,1.74736447
1.60E+11,1.773177688
1.61E+11,3.352472958
1.62E+11,3.109094069
1.63E+11,2.112154084
1.64E+11,2.713793846
1.64E+11,2.056422983
1.65E+11,2.9633145
1.66E+11,2.531026343
1.68E+11,4.177280337
1.68E+11,2.045092467
1.69E+11,1.75699839
1.70E+11,3.06147665
1.71E+11,3.303681184
1.72E+11,2.275180342
1.73E+11,2.664904467
1.74E+11,2.135036466
1.75E+11,2.570603268
1.75E+11,2.48979492
1.77E+11,4.187912786
1.78E+11,2.366219341
1.78E+11,1.798166851
1.79E+11,2.508016079
1.81E+11,3.871015956
1.81E+11,2.028229417
1.82E+11,2.791078242
1.83E+11,2.159824139
1.84E+11,2.196567253
1.85E+11,2.926693578
1.86E+11,3.585603153
1.87E+11,3.211023733
1.88E+11,1.737019269
1.88E+11,1.776538606
1.88E+11,2.39471223
1.89E+11,1.963368325
1.90E+11,2.590594644
1.90E+11,2.068999051
1.91E+11,1.720478434
1.91E+11,1.747534133
1.92E+11,1.730133757
1.93E+11,1.819688959
1.93E+11,1.885470109
1.94E+11,1.838593489
1.95E+11,1.738039001
1.95E+11,1.867652671
1.96E+11,1.847825257
1.96E+11,1.265403857
1.97E+11,1.193521392
1.97E+11,1.492258907
1.98E+11,2.00654948
1.99E+11,2.530431052
1.99E+11,2.027455283
2.00E+11,1.703419341
2.00E+11,1.745336513
2.01E+11,1.749398372
2.02E+11,1.789187414
2.02E+11,1.916238005
2.03E+11,1.777859869
2.04E+11,1.79108379
2.04E+11,1.918965707
2.05E+11,1.619051328
2.05E+11,1.274292536
2.06E+11,1.184162168
2.06E+11,1.837047618
2.07E+11,2.301126547
2.08E+11,2.33618418
2.09E+11,1.78537291
2.09E+11,1.67783144
2.10E+11,1.744803517
2.10E+11,1.85588888
2.11E+11,1.786590545
2.12E+11,1.919426535
2.12E+11,1.68429236
2.13E+11,1.915897646
2.14E+11,1.866237278
2.14E+11,1.334907489
2.14E+11,1.249557985
2.15E+11,1.329362962
2.16E+11,2.039061767
2.16E+11,2.578810268
2.17E+11,2.034268557
2.18E+11,1.736502362
2.18E+11,1.745441011
2.19E+11,1.732568166
2.20E+11,1.801978582
2.20E+11,1.902787549
2.21E+11,1.803329009
2.21E+11,1.771055597
2.22E+11,1.917368185
2.23E+11,1.621412039
2.23E+11,1.320668636
2.24E+11,1.204044792
2.24E+11,1.719307212
2.25E+11,2.34158018
2.26E+11,2.241671374
2.26E+11,1.87845456
2.27E+11,1.676560873
2.27E+11,1.767357909
2.28E+11,1.804477675
2.29E+11,1.800100218
2.29E+11,1.960145172
2.30E+11,1.681062924
2.31E+11,1.876395634
2.31E+11,2.013739896
2.32E+11,1.309571193
2.32E+11,1.249085934
2.33E+11,1.176082398
2.33E+11,1.314621405
2.33E+11,1.429384012
2.34E+11,1.553737926
2.34E+11,1.434543442
2.35E+11,1.384753898
2.35E+11,1.561157596
2.36E+11,1.423411989
2.36E+11,1.475320507
2.37E+11,1.421371142
2.37E+11,1.383547581
2.38E+11,1.314694378
2.38E+11,1.381706945
2.39E+11,1.550308663
2.39E+11,1.496027799
2.40E+11,1.376540944
2.40E+11,1.524925414
2.41E+11,1.466612338
2.41E+11,1.441295408
2.42E+11,1.457955751
2.42E+11,1.371465839
2.43E+11,1.340630502
2.43E+11,1.36630601
2.44E+11,1.509896881
2.44E+11,1.543536584
2.45E+11,1.368966056
2.45E+11,1.49339702
2.46E+11,1.515656637
2.46E+11,1.396832062
2.47E+11,1.485982189
2.47E+11,1.372768933
2.48E+11,1.335616744
2.48E+11,1.375917199
2.49E+11,1.454352443
2.49E+11,1.547837085
2.50E+11,1.378504557
2.50E+11,1.480367634
2.51E+11,1.529448
2.51E+11,1.412414827
2.52E+11,1.497225656
2.52E+11,1.385833775
2.53E+11,1.355363639
2.53E+11,1.35026477
2.54E+11,1.423898978
2.54E+11,1.580163938
2.55E+11,1.38773649
2.55E+11,1.464884971
2.56E+11,1.5295369
2.56E+11,1.414872866
2.57E+11,1.496355815
2.57E+11,1.405971873
2.58E+11,1.365893182
2.58E+11,1.31488881
2.58E+11,1.411020452
2.59E+11,1.885644708
2.59E+11,1.971779746
2.60E+11,2.473706826
2.61E+11,2.693686273
2.62E+11,2.66114873
2.63E+11,2.693128354
2.64E+11,2.699279547
2.65E+11,3.111090508
2.66E+11,3.293211671
2.67E+11,3.29832421
2.68E+11,3.330123352
2.70E+11,3.322995643
2.71E+11,3.34610429
2.72E+11,3.324946411
2.73E+11,3.329320113
2.74E+11,3.313935572
2.75E+11,3.332579946
2.76E+11,2.495431614
2.77E+11,2.710812645
2.78E+11,2.691113672
2.79E+11,2.671586218
2.80E+11,2.702663233
2.81E+11,3.024677238
2.82E+11,3.294667776
2.83E+11,3.330086567
2.84E+11,3.320001385
2.85E+11,3.331916452
2.87E+11,3.331207609
2.88E+11,3.303188104
2.89E+11,3.27972279
2.90E+11,3.285184878
2.91E+11,3.333879529
2.92E+11,2.667497911
2.93E+11,2.681312693
2.94E+11,2.694319356
2.95E+11,2.684594709
2.96E+11,2.699921326
2.97E+11,2.878239217
2.98E+11,3.269557957
2.99E+11,3.277149202
3.00E+11,3.315152113
3.01E+11,3.32029974
3.02E+11,3.304389923
3.03E+11,3.324473246
3.05E+11,3.303068338
3.06E+11,3.30637973
3.07E+11,3.332380078
3.08E+11,2.853802722
3.09E+11,2.660136897
3.10E+11,2.691260834
3.11E+11,2.68148315
3.12E+11,2.719966233
3.13E+11,2.784809538
3.14E+11,3.260004383
3.15E+11,3.287072944
3.16E+11,3.279083982
3.17E+11,3.335691413
3.18E+11,3.339100282
3.19E+11,3.288592735
3.20E+11,3.334463703
3.22E+11,3.251082877
3.23E+11,3.259963522
3.24E+11,3.171066356
3.25E+11,2.497099401
3.26E+11,2.705229489
3.26E+11,2.682567506
3.27E+11,2.705818042
3.28E+11,2.702744768
3.29E+11,3.169828737
3.31E+11,3.276970204
3.32E+11,3.305925085
3.33E+11,3.297501378
3.34E+11,3.340877824
3.35E+11,3.330849854
3.36E+11,3.340935193
3.37E+11,3.288012584
3.38E+11,3.312205936
3.40E+11,3.361491512
3.40E+11,2.120246713
3.40E+11,2.200003225
3.41E+11,2.301829661
3.42E+11,1.246384519
3.42E+11,0.970761028
3.42E+11,0.983119589
3.43E+11,1.013639607
3.43E+11,1.839153541
3.44E+11,1.691085507
3.44E+11,0.952148415
3.45E+11,0.950349321
3.45E+11,0.951795471
3.45E+11,0.959846615
3.46E+11,0.960698164
3.46E+11,0.965161056
3.46E+11,0.966268528
3.47E+11,1.613605464
3.48E+11,2.008231957
3.48E+11,1.975620641
3.49E+11,2.012799542
3.50E+11,2.149044701
3.50E+11,2.17007444
3.51E+11,1.346105234
3.51E+11,0.962159033
3.52E+11,0.964609403
3.52E+11,0.960917949
3.52E+11,0.972355623
3.53E+11,0.987687993
3.53E+11,1.241482156
3.54E+11,2.014136569
3.55E+11,2.474828568
3.55E+11,2.532420986
3.56E+11,2.535931354
3.57E+11,2.45955779
3.58E+11,2.558049256
3.59E+11,2.472589079
3.60E+11,2.575471081
3.61E+11,2.528235838
3.62E+11,2.556965912
3.62E+11,2.273168162
3.63E+11,2.323261698
3.64E+11,1.069679476
3.64E+11,0.991437299
3.64E+11,1.014926998
3.65E+11,1.036546056
3.65E+11,2.105522934
3.66E+11,1.42034437
3.66E+11,0.966489493
3.67E+11,0.966643893
3.67E+11,0.963767335
3.67E+11,0.978623378
3.68E+11,0.974192626
3.68E+11,0.983173879
3.68E+11,0.977969154
3.69E+11,1.978332799
3.70E+11,2.013880779
3.70E+11,1.980697129
3.71E+11,2.018143066
3.72E+11,2.17861083
3.73E+11,1.992557164
3.73E+11,1.127754875
3.73E+11,0.97777082
3.74E+11,0.975188873
3.74E+11,0.986106165
3.74E+11,0.983683085
3.75E+11,1.020796489
3.75E+11,1.728514033
3.76E+11,2.187740771
3.77E+11,2.53448985
3.78E+11,2.491323593
3.79E+11,2.586396001
3.80E+11,2.51122382
3.80E+11,2.557768742
3.81E+11,2.544557867
3.82E+11,2.487371893
3.83E+11,2.527103509
3.84E+11,2.468430689
3.85E+11,2.25568008
3.85E+11,1.73306892
3.86E+11,0.992242056
3.86E+11,0.998573719
3.86E+11,1.059633466
3.87E+11,1.519074695
3.88E+11,2.017464888
3.88E+11,0.967418094
3.88E+11,0.964434006
3.89E+11,0.971189
3.89E+11,0.969321321
3.89E+11,0.973053935
3.90E+11,0.983097726
3.90E+11,0.99125192
3.90E+11,1.462635261
3.91E+11,1.990630703
3.92E+11,1.992777559
3.93E+11,2.013952708
3.93E+11,2.112996846
3.94E+11,2.174911345
3.95E+11,1.534493222
3.95E+11,0.97408638
3.95E+11,0.978444305
3.96E+11,0.977524588
3.96E+11,0.984446988
3.96E+11,1.009742031
3.97E+11,1.24228948
3.97E+11,2.012355523
3.98E+11,2.480515374
3.99E+11,2.538654004
4.00E+11,2.488476987
4.01E+11,2.508939816
4.02E+11,2.488185829
4.03E+11,2.553447046
4.03E+11,2.533107959
4.04E+11,2.555666749
4.05E+11,2.545498684
4.06E+11,2.289948901
4.07E+11,2.300239551
4.07E+11,1.245942872
4.08E+11,0.991681729
4.08E+11,1.006985601
4.08E+11,1.036607578
4.09E+11,1.972265489
4.10E+11,1.562291712
4.10E+11,0.966992298
4.10E+11,0.963700002
4.11E+11,0.965065311
4.11E+11,0.97717036
4.11E+11,0.973094482
4.12E+11,0.983445717
4.12E+11,0.98083299
4.13E+11,1.866123175
4.13E+11,2.028399409
4.14E+11,1.974365765
4.15E+11,2.013157874
4.15E+11,2.177912191
4.16E+11,2.116387437
4.17E+11,1.126518457
4.17E+11,0.978694923
