Cumulative Instructions,IPC_19,IPC_03,Speed_up
20737857,1.8457,2.0676,1.120225389
55755387,1.0771,1.0933,1.015040386
411197110,1.0192,1.0369,1.017366562
767134918,1.0193,1.0195,1.000196213
1123110708,1.0193,1.0194,1.000098107
1478981276,1.0192,1.0194,1.000196232
1834961887,1.0193,1.0195,1.000196213
2190944232,1.0192,1.0195,1.000294349
2546747056,1.0192,1.0195,1.000294349
2902758453,1.0193,1.0194,1.000098107
3258674321,1.0192,1.0193,1.000098116
3614647196,1.0193,1.0194,1.000098107
3970613375,1.0193,1.0194,1.000098107
4326622945,1.0193,1.0193,1
4682650711,1.0193,1.0195,1.000196213
5038390226,1.0192,1.0193,1.000098116
5394348907,1.0193,1.0193,1
5691130060,1.4114,1.0194,0.722261584
6042526993,1.19,1.0193,0.856554622
6511607475,1.3746,1.0194,0.741597556
7088607073,1.686,1.0798,0.640450771
7649109651,1.6146,1.6443,1.018394649
8191345113,1.6254,1.5421,0.948751077
9049404018,2.4717,1.9914,0.805680301
9608378173,1.6028,2.0437,1.275081108
10128739409,1.4933,2.1747,1.456304828
10659826988,1.5274,2.4676,1.615555847
11307935720,1.8604,2.7132,1.458396044
12094538382,2.2558,2.2309,0.988961787
12816646207,2.0755,2.4483,1.179619369
13484986101,1.9173,2.7471,1.43279612
14077955720,1.7008,2.7534,1.61888523
14684988377,1.7411,2.7599,1.585147321
15254106856,1.6382,2.5661,1.566414357
15873938526,1.7777,2.3591,1.327051809
16516827677,1.8441,2.3338,1.265549591
17186055668,1.9244,2.3239,1.207597173
17833759196,1.8593,2.3321,1.254289249
18504173416,1.9228,2.3531,1.223788226
19108973670,1.739,2.3668,1.361012076
19715088996,1.7576,2.3321,1.326866181
20446223388,2.7774,2.3048,0.829840858
21254937890,2.6508,2.3769,0.896672703
21766261629,1.4661,2.7391,1.868290021
22184323397,1.3849,3.0353,2.191710593
22568832122,1.2612,2.6556,2.105613701
23030487863,1.3501,2.1554,1.596474335
23623036633,1.7336,1.1281,0.650726811
24185855641,1.6262,1.386,0.852293691
24754860689,1.6967,1.5645,0.922084046
25618356337,2.479,1.996,0.805163372
26156521132,1.5434,2.1403,1.386743553
26676763132,1.4922,2.2555,1.511526605
27215321053,1.5501,2.4122,1.556157667
27885250508,1.9228,2.6098,1.35729145
28666780584,2.2452,2.2892,1.019597363
29388007304,2.0736,2.4494,1.18123071
30055730155,1.9156,2.8156,1.469826686
30650442949,1.7058,2.8157,1.650662446
31262235270,1.7566,2.6588,1.513605829
31847564310,1.6851,2.5098,1.489407157
32459108377,1.7543,2.3546,1.342187767
33106540781,1.8611,2.3314,1.252700016
33777342904,1.9244,2.3234,1.207337352
34419518193,1.8439,2.3226,1.259612777
35084145363,1.9109,2.3345,1.22167565
35695190477,1.7542,2.3514,1.340440087
36264347511,1.7596,2.3302,1.324278245
37071040132,2.9098,2.3023,0.791222764
37826229557,2.4126,2.2877,0.948230125
38337706892,1.4658,2.7829,1.898553691
38694637134,1.2675,3.1285,2.468244576
39151843774,1.4149,2.8763,2.032864513
39591647787,1.2886,1.8144,1.408039733
40206798120,1.7717,1.137,0.641756505
40756262963,1.5877,1.5208,0.957863576
41376607759,1.7923,1.5933,0.888969481
42204476706,2.3737,1.9558,0.823945739
42730231455,1.5093,2.1777,1.442854303
43248120471,1.4854,2.3894,1.608590279
43835829733,1.6901,2.4624,1.45695521
44492506631,1.8832,2.4248,1.287595582
45319227535,2.3706,2.3128,0.975617987
45992053671,1.9348,2.4588,1.270829026
46652626257,1.8938,2.8008,1.478931249
47241323731,1.6891,2.8597,1.693031792
47821789977,1.6698,2.5975,1.555575518
48432919323,1.7525,2.4216,1.381797432
49054941071,1.7855,2.3369,1.308821059
49708297388,1.8786,2.3248,1.2375173
50384336104,1.9391,2.3305,1.201846217
51020799926,1.8246,2.3336,1.278965253
51694104895,1.9367,2.3371,1.20674343
52298626754,1.7335,2.3403,1.350043265
52867403017,1.8897,2.3337,1.23495793
53737686121,3.0072,2.2947,0.763068635
54411444239,2.0854,2.2425,1.075333269
54922182041,1.4641,2.7926,1.907383375
55262131027,1.234,3.1587,2.559724473
55724767672,1.4089,3.325,2.359997161
56204312470,1.4016,1.4259,1.017337329
56798994597,1.7173,1.2097,0.704419729
57360324088,1.6199,1.5314,0.945366998
58036306801,1.9501,1.6728,0.857802164
58802831747,2.1974,1.9311,0.878811322
59320746920,1.4855,2.1827,1.469336924
59837463499,1.4869,2.4769,1.665814782
60435813227,1.7165,2.6101,1.520594232
61103176583,1.9134,2.3212,1.213128462
61925590647,2.358,2.337,0.991094148
62611371759,1.9716,2.4975,1.266737675
63246735584,1.8233,2.7611,1.514342127
63831901291,1.6795,2.8982,1.725632629
64399723466,1.6336,2.6528,1.623898139
65022904097,1.7874,2.4364,1.363097236
65644027739,1.7813,2.3434,1.315556055
66301143080,1.8914,2.3098,1.221211801
66975033554,1.9331,2.3155,1.197816978
67621686161,1.8548,2.328,1.255121846
68283405327,1.9036,2.3362,1.227253625
68880206329,1.7126,2.3372,1.36470863
69440205140,1.9502,2.3201,1.189672854
70355574056,3.0858,2.2987,0.744928382
70975146654,1.8776,2.3383,1.245366425
71485503229,1.4632,2.6907,1.838914707
71803652068,1.1822,2.9501,2.495432245
72283890824,1.44,3.3416,2.320555556
72767360663,1.416,1.4236,1.005367232
73363311843,1.7161,1.2339,0.719014043
73922288643,1.6135,1.5274,0.946637744
74654909044,2.1122,1.7926,0.848688571
75369656823,2.0497,1.8752,0.91486559
75887149415,1.4853,2.0651,1.39035885
76405964634,1.4914,2.4441,1.638795762
77007565949,1.7269,2.809,1.626614164
77727794636,2.0656,2.3244,1.125290473
78505269338,2.2304,2.3377,1.048107963
79201495368,2.0037,2.5416,1.268453361
79830183671,1.8047,2.7231,1.508893445
80417945387,1.6875,2.8927,1.714192593
80991760658,1.6518,2.6584,1.609395811
81611554504,1.7772,2.4205,1.361973892
82239654626,1.8017,2.3498,1.304212688
82895443127,1.8851,2.3144,1.227733277
83565500283,1.9215,2.3244,1.209679938
84222569811,1.8865,2.3426,1.241770474
84854580414,1.8175,2.3531,1.294690509
85479870902,1.7939,2.3255,1.296337588
86084603338,2.1955,2.3081,1.051286723
87002637748,3.073,2.3529,0.765668728
87558053074,1.6382,2.5537,1.558845074
88029084335,1.464,2.6679,1.822336066
88135889002,1.2583,2.6752,2.126043074
88517984682,1.5399,2.7014,1.754269758
88745641871,0.6552,2.7171,4.146978022
89198821588,1.5539,1.8726,1.205096853
89580869185,1.1273,1.1128,0.987137408
89969647640,1.1311,1.7493,1.546547609
90344709407,1.1052,1.7294,1.564784654
90741413809,1.1534,1.3123,1.137766603
91121801996,1.1217,1.2464,1.111170545
91518642329,1.1538,1.2394,1.074189634
91896838770,1.115,1.2384,1.110672646
92289292280,1.1421,1.2276,1.074862096
92668159779,1.1175,1.2271,1.098076063
93064214610,1.151,1.2351,1.073066898
93468928748,1.2055,1.2465,1.034010784
93860305510,1.1677,1.2354,1.05797722
94249362797,1.1601,1.2435,1.071890354
94651351290,1.1525,1.2487,1.083470716
95043583638,1.1702,1.2323,1.053067852
95437072856,1.1735,1.1933,1.016872603
95827285514,1.1635,1.1721,1.007391491
96236231261,1.1726,1.1675,0.995650691
96630353905,1.1736,1.1728,0.999318337
97015548496,1.1468,1.1737,1.023456575
97388304703,1.0842,1.1709,1.079966796
97781367093,1.1437,1.1681,1.021334266
98155445593,1.1032,1.1709,1.061366933
98546008776,1.1348,1.1556,1.018329221
98925877799,1.1201,1.1424,1.019908937
99321855324,1.1512,1.1595,1.007209868
99701305066,1.1187,1.2475,1.115133637
1E+11,1.1501,1.2304,1.069820016
1E+11,1.1097,1.2304,1.108768136
1.01E+11,1.1633,1.2429,1.068426029
1.01E+11,1.0955,1.2429,1.134550434
1.02E+11,1.2203,1.2317,1.009341965
1.02E+11,1.1448,1.2317,1.075908456
1.02E+11,1.2,1.2317,1.026416667
1.03E+11,1.16,1.2455,1.073706897
1.03E+11,1.1502,1.2455,1.082855156
1.04E+11,1.129,1.1973,1.060496014
1.04E+11,1.1962,1.1973,1.000919579
1.04E+11,1.1804,1.1973,1.014317181
1.05E+11,1.1736,1.144,0.974778459
1.05E+11,1.1174,1.144,1.023805262
1.06E+11,1.1621,1.1673,1.004474658
1.06E+11,1.1092,1.1673,1.052380094
1.06E+11,1.1245,1.1673,1.038061361
1.07E+11,1.1183,1.138,1.017616024
1.07E+11,1.1098,1.138,1.025409984
1.08E+11,1.1277,1.1913,1.056397978
1.08E+11,1.1428,1.1913,1.042439622
1.08E+11,1.1219,1.1913,1.061859346
1.09E+11,1.1351,1.2582,1.108448595
1.09E+11,1.1434,1.2582,1.100402309
1.09E+11,1.1181,1.2582,1.125301851
1.1E+11,1.153,1.2425,1.077623591
1.1E+11,1.2088,1.2425,1.027878888
1.11E+11,1.1747,1.2351,1.051417383
1.11E+11,1.1612,1.2351,1.063641061
1.11E+11,1.1246,1.2351,1.098257158
1.12E+11,1.1989,1.2503,1.042872633
1.12E+11,1.1727,1.2503,1.066172082
1.13E+11,1.1674,1.1822,1.012677745
1.13E+11,1.1448,1.1822,1.032669462
1.13E+11,1.1958,1.1822,0.988626861
1.14E+11,1.1611,1.1611,1
1.14E+11,1.0909,1.1611,1.064350536
1.15E+11,1.1375,1.1933,1.049054945
1.15E+11,1.1055,1.1933,1.079421076
1.15E+11,1.1225,1.1933,1.063073497
1.16E+11,1.1169,1.133,1.014414898
1.16E+11,1.1407,1.133,0.993249759
1.16E+11,1.1302,1.133,1.002477438
1.17E+11,1.1494,1.2363,1.075604663
1.17E+11,1.1051,1.2363,1.118722288
1.18E+11,1.16,1.2544,1.08137931
1.18E+11,1.1164,1.2544,1.123611609
1.18E+11,1.2144,1.2544,1.032938076
1.19E+11,1.1584,1.2371,1.067938536
1.19E+11,1.1735,1.2371,1.054196847
1.2E+11,1.1759,1.2327,1.048303427
1.2E+11,1.2209,1.2327,1.009665001
1.2E+11,1.1675,1.2327,1.055845824
1.21E+11,1.1462,1.1776,1.02739487
1.21E+11,1.2131,1.1776,0.970736131
1.22E+11,1.1815,1.1666,0.987388912
1.22E+11,1.1404,1.1666,1.022974395
1.22E+11,1.1462,1.1666,1.017797941
1.23E+11,1.0773,1.1865,1.101364522
1.23E+11,1.146,1.1865,1.035340314
1.24E+11,1.1035,1.146,1.03851382
1.24E+11,1.1295,1.146,1.014608234
1.24E+11,1.1126,1.146,1.030019774
1.25E+11,1.1513,1.25,1.085729176
1.25E+11,1.1238,1.25,1.112297562
1.25E+11,1.1391,1.25,1.097357563
1.26E+11,1.1403,1.2241,1.073489433
1.26E+11,1.1412,1.2241,1.072642832
1.27E+11,1.1712,1.2337,1.053364071
1.27E+11,1.1797,1.2337,1.045774349
1.27E+11,1.1837,1.2337,1.042240433
1.28E+11,1.1626,1.2548,1.079305006
1.28E+11,1.1442,1.2548,1.096661423
1.29E+11,1.1623,1.1738,1.009894175
1.29E+11,1.1838,1.1738,0.991552627
1.29E+11,1.1672,1.1738,1.005654558
1.3E+11,1.1777,1.1694,0.992952365
1.3E+11,1.1495,1.1694,1.017311875
1.31E+11,1.1453,1.1729,1.024098489
1.31E+11,1.4955,1.1729,0.784286192
1.31E+11,1.9776,1.1729,0.593092638
1.32E+11,2.042,1.1194,0.548188051
1.32E+11,2.1989,1.1194,0.509072718
1.33E+11,2.1291,3.4247,1.608520032
1.34E+11,2.2285,2.624,1.177473637
1.35E+11,2.3042,2.7639,1.199505251
1.35E+11,2.1545,2.7639,1.282849849
1.36E+11,2.2235,2.6731,1.202203733
1.37E+11,2.1392,2.532,1.183620045
1.38E+11,2.2225,2.8216,1.269561305
1.38E+11,2.2832,2.8216,1.23580939
1.39E+11,2.2068,2.6768,1.212978068
1.4E+11,2.1329,2.532,1.187116133
1.41E+11,2.2056,2.745,1.244559304
1.41E+11,2.4995,2.745,1.098219644
1.42E+11,3.1003,2.6128,0.842757153
1.43E+11,3.736,2.6675,0.713998929
1.44E+11,2.0048,4.1438,2.066939346
1.45E+11,2.7349,3.8747,1.416761125
1.45E+11,2.3152,3.8747,1.673591914
1.46E+11,2.2184,3.7102,1.672466643
1.47E+11,2.9503,3.5458,1.20184388
1.48E+11,3.4961,2.8372,0.811532851
1.49E+11,3.7823,3.5078,0.927425112
1.5E+11,1.6968,4.1785,2.462576615
1.51E+11,1.8238,4.4885,2.461070293
1.52E+11,3.6728,2.107,0.573676759
1.53E+11,2.7442,3.32,1.209824357
1.54E+11,2.4032,4.533,1.88623502
1.54E+11,2.5174,4.533,1.800667355
1.55E+11,1.9771,3.913,1.979161398
1.56E+11,3.05,3.2929,1.079639344
1.57E+11,2.648,2.7937,1.055022659
1.59E+11,4.1755,3.7698,0.902837983
1.59E+11,1.7474,3.7698,2.157376674
1.6E+11,1.7732,4.0246,2.269681931
1.61E+11,3.3525,4.2794,1.276480239
1.62E+11,3.1091,2.1349,0.686661735
1.63E+11,2.1122,3.3292,1.576176498
1.64E+11,2.7138,4.5235,1.66685091
1.64E+11,2.0564,4.5235,2.199717954
1.65E+11,2.9633,3.3029,1.114601964
1.66E+11,2.531,2.8818,1.138601343
1.68E+11,4.1773,3.7906,0.907428243
1.68E+11,2.0451,3.7906,1.853503496
1.69E+11,1.757,4.0152,2.285258964
1.7E+11,3.0615,4.2399,1.384909358
1.71E+11,3.3037,2.1348,0.646184581
1.72E+11,2.2752,3.332,1.464486639
1.73E+11,2.6649,4.5292,1.699575969
1.74E+11,2.135,3.9094,1.831100703
1.75E+11,2.5706,3.2896,1.279701237
1.75E+11,2.4898,3.2896,1.321230621
1.77E+11,4.1879,3.3751,0.805917047
1.78E+11,2.3662,3.9226,1.657763503
1.78E+11,1.7982,3.9226,2.181403626
1.79E+11,2.508,4.054,1.616427432
1.81E+11,3.871,2.2847,0.590209248
1.81E+11,2.0282,2.2847,1.126466818
1.82E+11,2.7911,3.3359,1.19519186
1.83E+11,2.1598,4.3871,2.031252894
1.84E+11,2.1966,3.3469,1.523672949
1.85E+11,2.9267,2.8764,0.982813408
1.86E+11,3.5856,3.4238,0.954875056
1.87E+11,3.211,3.9711,1.236717533
1.88E+11,1.737,3.9879,2.295854922
1.88E+11,1.7765,3.9879,2.244807205
1.88E+11,2.3947,3.9879,1.665302543
1.89E+11,1.9634,4.0047,2.039676072
1.9E+11,2.5906,2.083,0.804060835
1.9E+11,2.069,2.083,1.006766554
1.91E+11,1.7205,2.6912,1.564196455
1.91E+11,1.7475,2.6912,1.540028612
1.92E+11,1.7301,2.7655,1.598462517
1.93E+11,1.8197,2.7966,1.536846733
1.93E+11,1.8855,2.7966,1.483214002
1.94E+11,1.8386,2.7928,1.518981834
1.95E+11,1.738,2.789,1.604718067
1.95E+11,1.8677,2.789,1.493280505
1.96E+11,1.8478,2.8132,1.522459141
1.96E+11,1.2654,2.8132,2.223170539
1.97E+11,1.1935,3.0839,2.583912861
1.97E+11,1.4923,3.0839,2.06654158
1.98E+11,2.0065,3.4003,1.694642412
1.99E+11,2.5304,3.7167,1.468819159
1.99E+11,2.0275,3.7167,1.833144266
2E+11,1.7034,2.786,1.635552425
2E+11,1.7453,2.786,1.596287171
2.01E+11,1.7494,2.7493,1.571567395
2.02E+11,1.7892,2.8039,1.567124972
2.02E+11,1.9162,2.8039,1.46326062
2.03E+11,1.7779,2.7951,1.572135666
2.04E+11,1.7911,2.7994,1.562950142
2.04E+11,1.919,2.7994,1.458780615
2.05E+11,1.6191,2.8037,1.731641035
2.05E+11,1.2743,2.8037,2.200188339
2.06E+11,1.1842,2.9958,2.529809154
2.06E+11,1.837,2.9958,1.630811105
2.07E+11,2.3011,3.3314,1.447742384
2.08E+11,2.3362,3.667,1.56964301
2.09E+11,1.7854,2.7599,1.545816064
2.09E+11,1.6778,2.7599,1.644951722
2.1E+11,1.7448,2.7518,1.577143512
2.1E+11,1.8559,2.7518,1.482730751
2.11E+11,1.7866,2.7673,1.548919736
2.12E+11,1.9194,2.7828,1.449828071
2.12E+11,1.6843,2.7828,1.652199727
2.13E+11,1.9159,2.7828,1.452476643
2.14E+11,1.8662,2.7922,1.496195477
2.14E+11,1.3349,2.7922,2.091692262
2.14E+11,1.2496,2.7922,2.234475032
2.15E+11,1.3294,3.0778,2.31517978
2.16E+11,2.0391,3.3635,1.649502231
2.16E+11,2.5788,3.3635,1.304288817
2.17E+11,2.0343,3.1628,1.554736273
2.18E+11,1.7365,2.8556,1.644457242
2.18E+11,1.7454,2.8556,1.636071961
2.19E+11,1.7326,2.8328,1.634999423
2.2E+11,1.802,2.8099,1.559322974
2.2E+11,1.9028,2.8099,1.47671852
2.21E+11,1.8033,2.7857,1.544779016
2.21E+11,1.7711,2.7857,1.572864322
2.22E+11,1.9174,2.813,1.467090852
2.23E+11,1.6214,2.7973,1.725237449
2.23E+11,1.3207,2.7973,2.118043462
2.24E+11,1.204,3.2319,2.684302326
2.24E+11,1.7193,3.2319,1.879776653
2.25E+11,2.3416,3.6665,1.565809703
2.26E+11,2.2417,2.8587,1.275237543
2.26E+11,1.8785,2.8587,1.521799308
2.27E+11,1.6766,2.8579,1.704580699
2.27E+11,1.7674,2.8579,1.617008034
2.28E+11,1.8045,2.8572,1.583374896
2.29E+11,1.8001,2.8034,1.557357925
2.29E+11,1.9601,2.8034,1.430233151
2.3E+11,1.6811,2.7969,1.66373208
2.31E+11,1.8764,2.8006,1.492538904
2.31E+11,2.0137,2.8006,1.390773204
2.32E+11,1.3096,2.8042,2.141264508
2.32E+11,1.2491,2.8042,2.244976383
2.33E+11,1.1761,3.0652,2.606240966
2.33E+11,1.3146,3.0652,2.33165982
2.33E+11,1.4294,3.0652,2.14439625
2.34E+11,1.5537,3.6446,2.345755294
2.34E+11,1.4345,3.6446,2.540676194
2.35E+11,1.3848,1.9132,1.381571346
2.35E+11,1.5612,1.9132,1.225467589
2.36E+11,1.4234,1.7894,1.257130814
2.36E+11,1.4753,1.7894,1.21290585
2.37E+11,1.4214,1.8761,1.319895877
2.37E+11,1.3835,1.8761,1.356053488
2.38E+11,1.3147,1.8778,1.428310641
2.38E+11,1.3817,1.8778,1.359050445
2.39E+11,1.5503,1.7803,1.148358382
2.39E+11,1.496,1.7803,1.190040107
2.4E+11,1.3765,1.9066,1.385107156
2.4E+11,1.5249,1.9066,1.250311496
2.41E+11,1.4666,1.8025,1.229033138
2.41E+11,1.4413,1.8025,1.250607091
2.42E+11,1.458,1.882,1.290809328
2.42E+11,1.3715,1.882,1.372220197
2.43E+11,1.3406,1.8738,1.397732359
2.43E+11,1.3663,1.8738,1.371441118
2.44E+11,1.5099,1.8074,1.197032916
2.44E+11,1.5435,1.8074,1.170975057
2.45E+11,1.369,1.8928,1.382615047
2.45E+11,1.4934,1.8928,1.267443418
2.46E+11,1.5157,1.8251,1.204130105
2.46E+11,1.3968,1.8251,1.306629439
2.47E+11,1.486,1.8683,1.257267833
2.47E+11,1.3728,1.8683,1.360941142
2.48E+11,1.3356,1.8539,1.388065289
2.48E+11,1.3759,1.8539,1.347408969
2.49E+11,1.4544,1.8382,1.263888889
2.49E+11,1.5478,1.8382,1.18762114
2.5E+11,1.3785,1.8898,1.37091041
2.5E+11,1.4804,1.8898,1.276546879
2.51E+11,1.5294,1.8433,1.205243886
2.51E+11,1.4124,1.8433,1.305083546
2.52E+11,1.4972,1.8863,1.259885119
2.52E+11,1.3858,1.8863,1.361163227
2.53E+11,1.3554,1.838,1.356057252
